2024-05-05 14:36:01.855 | DEBUG    | common.acme:generate_and_check_acme:50 - Calling rosdiscover: ['acme', '/tmp/tmpqa28w2s8.rosdiscover.yml', '--from-yml', '/home/az/Documents/csc7135_rosdiscover_exp/results/recovery/subjects/pkg2/observed.architecture.yml', '--acme', '/home/az/Documents/csc7135_rosdiscover_exp/results/recovery/subjects/pkg2/observed.architecture.acme', '--check', '--ignore-list', '/tmp/tmpieat5uscignore.txt']
2024-05-05 14:36:01.860 | INFO     | rosdiscover.acme.acme:generate_acme_file:443 - Writing Acme to /home/az/Documents/csc7135_rosdiscover_exp/results/recovery/subjects/pkg2/observed.architecture.acme
2024-05-05 14:36:01.860 | INFO     | rosdiscover.acme.acme:generate_acme_file:443 - Writing Acme to /home/az/Documents/csc7135_rosdiscover_exp/results/recovery/subjects/pkg2/observed.architecture.acme
2024-05-05 14:36:01.860 | DEBUG    | rosdiscover.acme.acme:_check_acme:457 - Running Acme checker
2024-05-05 14:36:01.860 | INFO     | rosdiscover.acme.acme:_output:448 - Checking architecture...
2024-05-05 14:36:02.466 | DEBUG    | rosdiscover.acme.acme:_check_acme:462 - Checking ran successfully
2024-05-05 14:36:02.466 | DEBUG    | rosdiscover.acme.acme:_check_acme:463 - b'Acme Parser ROS Checker (release 1.0): ROS system failed to typecheck.\nGetting causes for _home_az_Documents_csc7135_rosdiscover_exp_results_recovery_subjects_pkg2_observed_architecture.possibleDanglingSubscribers2\nGetting causes for _home_az_Documents_csc7135_rosdiscover_exp_results_recovery_subjects_pkg2_observed_architecture.possibleDanglingPublishers2\n'
2024-05-05 14:36:02.466 | INFO     | rosdiscover.acme.acme:_output:448 - The following problems were found with the robot architecture:
2024-05-05 14:36:02.466 | INFO     | rosdiscover.acme.acme:_output:448 -     fetchcontroller_node subscribes to an unpublished topic: '/fetch/targets'. But there is a publisher(s) fetchhardware_node that publishes a similar message type: std_msgs/String as /fetch/target_obj. fetchcontroller_node was launched by unknown
2024-05-05 14:36:02.466 | INFO     | rosdiscover.acme.acme:_output:448 -     fetchcontroller_node subscribes to an unpublished topic: '/fetch/JointStates'. But there is a publisher(s) fetchhardware_node that publishes a similar message type: sensor_msgs/JointState as /fetch/joint_state. fetchcontroller_node was launched by unknown
2024-05-05 14:36:02.466 | INFO     | rosdiscover.acme.acme:_output:448 -     fetchhardware_node  publishes to an unsubscribed topic: '/fetch/joint_state'. But there is a subscriber(s) fetchcontroller_node._fetch_JointStates_sub with a similar name that subscribes to a similar message type. fetchhardware_node was launched from unknown.
2024-05-05 14:36:02.466 | INFO     | rosdiscover.acme.acme:_output:448 -     fetchhardware_node  publishes to an unsubscribed topic: '/fetch/target_obj'. But there is a subscriber(s) fetchcontroller_node._fetch_targets_sub with a similar name that subscribes to a similar message type. fetchhardware_node was launched from unknown.
